   DEPT        IK            RR        DS            RS        SP
   1528.79     317.521       2.039     226.685       3.343      -4.324
   1528.59     318.445       2.040     227.819       3.365      -4.191
   1528.39     318.529       2.040     229.841       3.386      -4.287
   1528.19     317.843       2.040     230.602       3.408      -4.398
   1527.99     316.515       2.040     229.908       3.429      -4.502
   1527.79     315.187       2.040     227.281       3.436      -4.576
   1527.59     313.860       2.040     228.144       3.435      -4.651
   1527.39     316.947       2.040     226.085       3.434      -3.682
   1527.19     320.283       2.040     227.840       3.443      -2.446
   1526.99     320.587       2.041     221.130       3.473      -3.359
   1526.79     317.624       2.041     224.283       3.503      -6.723
   1526.59     310.008       2.041     227.577       3.555      -8.221
   1526.39     302.392       2.041     220.342       3.737      -7.159
   1526.19     292.737       2.041     214.913       3.920      -4.833
   1525.99     282.414       2.041     216.840       4.102      -2.841
   1525.79     276.357       2.041     216.233       4.045      -2.533
   1525.59     283.860       2.041     209.976       3.973      -2.560
   1525.39     291.363       2.042     212.520       3.901      -2.716
   1525.19     299.378       2.042     218.192       3.682      -2.408
   1524.99     308.326       2.042     226.908       3.450      -1.739
   1524.79     314.300       2.042     225.044       3.354      -1.557
   1524.59     316.217       2.042     226.975       3.358      -1.599
   1524.40     317.710       2.042     226.074       3.362      -1.641
   1524.19     317.617       2.042     224.718       3.367      -1.698
   1523.99     316.067       2.042     222.101       3.321      -1.757
   1523.80     310.304       2.043     228.769       3.276      -2.248
   1523.59     304.541       2.043     224.816       3.294      -3.419
   1523.40     298.779       2.043     228.063       3.402      -4.760
   1523.19     292.857       2.043     223.294       3.748      -6.767
   1522.99     286.388       2.043     221.998       4.094      -7.487
   1522.80     279.920       2.043     231.805       4.080      -6.170
   1522.59     277.230       2.043     218.226       4.017      -3.834
   1522.40     275.902       2.043     199.560       4.017      -3.437
   1522.19     277.358       2.044     214.505       4.018      -3.881
   1521.99     280.131       2.044     229.451       4.019      -3.877
   1521.80     282.903       2.044     220.503       3.718      -3.284
   1521.59     287.035       2.044     226.315       3.719      -4.402
