Depth     DS        PS        IK        BK        PZ
2469.20   23.9358   27.7980   163.1627  12.2434   21.5763
2469.40   23.8794   26.4414   165.0970  11.6000   18.7664
2469.60   23.8366   25.4239   166.9588  11.1189   17.7604
2469.80   23.8035   24.9637   169.0383  10.8960   17.8950
2470.00   23.8580   25.0000   170.7550  10.9657   18.0639
2470.20   23.8794   25.4239   171.6738  10.9657   18.1251
2470.40   23.8580   25.9569   172.2058  10.9001   18.2842
2470.60   23.8482   26.8774   172.3025  11.0648   18.1887
2470.80   23.9280   27.7980   171.4079  11.0565   17.8681
2471.00   23.9728   28.3430   169.7395  10.7419   17.7922
2471.20   23.9786   28.4036   167.7084  10.9616   18.2450
2471.40   23.9514   27.6768   165.1454  11.2488   18.4947
2471.60   23.9339   26.6352   162.0262  10.9616   18.5167
2471.80   23.9339   25.7267   159.2698  11.0607   18.7713
2472.00   23.9436   25.3149   155.9088  11.5220   19.2608
2472.20   23.9708   25.7389   153.0798  11.5177   19.5154
2472.40   24.0739   25.5814   150.0816  10.9493   19.3685
2472.60   24.1401   26.3203   144.8347  10.2041   19.8262
2472.80   24.1109   26.9985   138.7656  10.2694   20.7710
2473.00   24.0467   27.5315   132.7208  11.8505   22.0903
2473.20   23.9825   29.4695   123.7986  15.6981   25.2478
2473.40   24.3482   33.2001   116.0612  24.3410   28.5277
2473.60   24.7354   39.7771   109.3877  36.5998   34.9406
2473.80   24.7335   43.1565   105.0837  37.4885   38.6489
2474.00   24.7549   44.9007   102.0129  21.9484   37.7065
2474.20   23.6323   40.3464   99.8126   16.8444   33.6556
2474.40   23.0292   33.9632   100.3929  13.5985   28.1728
2474.60   23.2198   30.3052   102.0371  17.4355   27.1693
2474.80   23.2899   27.9918   104.7210  20.4777   27.2916
2475.00   23.4086   26.9743   109.7262  24.0688   27.1448
2475.20   23.3249   27.9191   119.9541  21.4200   26.2514
2475.40   23.1926   31.0925   129.4566  16.8381   16.5732
2475.60   23.2626   36.2524   139.9021  11.0151   12.6594
2475.80   23.7082   47.6381   151.5082  9.0778    10.4687
2476.00   24.4669   64.2442   162.1230  6.6628    9.1788
2476.20   25.0739   82.4128   168.3129  4.6910    7.9794
2476.40   25.3502   88.2267   170.9726  4.3375    7.2819
2476.60   25.5195   90.0073   170.1989  4.0942    7.2500
2476.80   25.5992   89.7650   170.1989  4.6490    7.3381
2477.00   25.3405   87.9118   171.0693  5.1674    7.0860
2477.20   25.3093   88.8566   171.6013  5.5927    6.9588
2477.40   25.3093   91.4365   171.3353  5.6518    7.0224
2477.60   25.1984   92.2723   170.2714  5.2494    6.8951
2477.80   25.0992   90.7582   168.5305  5.1771    7.2109
2478.00   25.3288   87.7907   167.7809  5.7695    7.6612
2478.20   25.5292   84.3992   167.7084  6.7180    8.2536
2478.40   25.1498   80.7534   168.6030  7.8166    8.3735
2478.60   25.3171   80.1720   171.1177  6.8708    8.0039
2478.80   25.2588   84.0116   172.3750  5.8787    7.7224
2479.00   25.2140   86.9549   170.4890  5.2691    7.3847
2479.20   25.1965   89.4501   167.9744  5.0790    7.2402
2479.40   25.1965   90.5523   166.4994  5.4011    7.3259
2479.60   25.1751   90.9641   165.6048  5.4992    7.6808
2479.80   25.1770   90.7825   164.7343  5.3728    7.4850
2480.00   25.1459   92.2602   164.3233  5.3507    7.1276
2480.20   25.0739   92.3934   164.4684  5.5489    7.1888
2480.40   24.9280   91.9331   164.6134  5.8435    7.0787
2480.60   24.8035   92.4903   164.4684  5.4499    7.1570
2480.80   24.6907   92.3813   164.6134  5.6264    7.5952
