Depth     GZ4       GZ3       GZ2       GZ1       IK        DS        BK        GZK3      PS        PZ        NKT       GK
2445.40   4.6120    6.5985    5.3828    5.6304    172.4775  22.0237   5.0690    8.2163    87.3778   6.2989    2.8384    7.0220
2445.60   4.8625    6.6379    5.5609    5.9769    169.0526  21.9632   4.9393    7.7451    86.7546   6.6551    2.9067    7.3758
2445.80   4.8502    6.5444    5.7044    5.2298    164.5928  21.9866   5.0334    7.3324    85.2639   8.0876    2.9496    6.9219
2446.00   4.7618    6.3006    5.6252    5.2961    159.6895  22.0939   4.8758    7.2665    83.3089   10.2573   2.9963    7.0571
2446.20   4.8404    6.2341    5.0736    5.2200    153.5050  22.1582   4.7970    7.7646    80.3275   12.5458   3.1008    7.0503
2446.40   5.1179    6.4163    4.6753    4.8931    144.2159  22.1621   4.8488    8.4874    73.9492   14.1192   3.6827    6.4827
2446.60   5.7466    7.1033    4.9425    4.9767    133.0048  21.6297   5.4543    9.4347    64.1007   16.1257   3.8987    5.8443
2446.80   6.2475    7.8124    5.8627    6.9255    122.6808  20.9218   7.8504    10.5897   55.4619   19.9406   4.0671    5.1010
2447.00   6.6405    8.6815    7.2356    14.1263   125.1940  21.1149   15.5964   10.9120   49.0103   20.1064   4.2334    4.6335
2447.20   7.3158    9.8092    9.4867    15.5198   128.7421  21.1461   8.9129    10.2649   38.9663   19.1440   4.4469    4.6745
2447.40   8.1974    10.9295   13.7415   16.5348   121.5474  21.4328   9.1535    11.1464   42.4120   19.3345   4.7061    4.3304
2447.60   9.4303    11.7272   17.8850   17.3138   119.0834  21.4328   10.7563   13.1120   39.8827   19.8565   4.2321    4.5852
2447.80   10.0860   12.2245   21.6203   19.9410   130.9104  21.2494   12.5140   13.8835   33.2234   20.2895   3.7521    4.3714
2448.00   8.7475    10.3533   23.4137   19.4053   143.0578  20.8457   13.4057   12.9117   19.7947   20.0148   3.3577    3.6481
2448.20   6.3949    9.0976    19.1218   19.1349   156.6589  20.8457   10.2511   10.9974   15.2615   19.5918   3.3745    3.5203
2448.40   4.8035    8.7652    18.4960   18.8154   169.2497  20.8399   10.3886   9.5422    11.8646   19.0871   3.5649    3.5261
2448.60   3.4283    8.5535    19.4855   18.3829   179.0563  20.8418   10.4502   8.9293    9.6774    18.8026   3.3765    3.6862
2448.80   2.8585    8.3467    19.8169   17.9061   185.4872  20.8516   10.4078   8.5460    8.9076    18.9683   3.4923    3.9097
2449.00   2.6252    8.1792    18.9091   17.4441   191.1790  20.8731   10.4309   8.3409    8.7610    19.1192   3.4843    3.4265
2449.20   2.5614    8.1128    18.2808   17.1148   196.8954  20.9550   10.5865   8.2530    8.4922    19.0698   3.4320    3.5759
2449.40   2.5491    8.3147    18.1027   17.1762   201.7001  20.9355   10.6375   8.0967    7.3314    18.9758   3.6852    3.8829
2449.60   2.4975    9.0164    18.2585   17.6456   205.3222  20.8575   10.5943   7.8867    5.6452    19.0871   3.6919    4.2626
2449.80   2.4607    9.5285    18.5083   17.9700   208.5746  20.8653   10.4309   7.7158    4.5699    19.4334   3.7719    4.0752
2450.00   2.5270    9.7673    18.6197   18.0339   211.9010  20.9296   10.3578   7.4277    4.4477    19.5868   3.5917    4.0947
2450.20   2.6719    9.7993    18.5578   17.8840   215.3259  20.9218   10.5357   6.9808    5.2664    19.3889   3.7551    4.3899
2450.40   2.7800    9.5408    18.5628   17.7537   219.2189  21.0037   10.4502   6.7196    6.5738    18.6541   3.7288    4.6208
2450.60   2.9003    9.2798    18.7681   18.1101   222.0032  21.2904   10.4078   6.5291    7.5147    17.9614   3.7353    3.9834
2450.80   3.0403    9.2774    19.1095   18.6360   223.8265  21.0642   10.4348   6.2361    7.7713    17.4790   3.6584    4.1786
2451.00   3.1852    9.2897    19.4236   19.0612   225.3542  20.8087   10.4232   6.2215    7.2458    17.0807   3.8347    4.3158
2451.20   3.3080    9.1075    19.1664   18.9236   226.8326  20.5630   10.3387   6.3094    6.5860    16.8159   3.7860    4.1757
2451.40   3.4406    8.7135    18.7013   18.2502   228.5327  20.7970   10.1943   6.3631    6.0728    16.4523   3.6604    4.3885
2451.60   3.5904    8.3590    18.0829   18.1347   230.4300  20.8360   10.0000   6.4119    5.7429    15.3736   3.5496    4.4451
2451.80   3.7819    8.1103    17.3680   18.0118   232.3026  20.8555   9.6617    6.4730    5.5963    14.1786   3.4448    4.5222
2452.00   3.9686    7.8666    16.5764   17.7144   234.3723  20.9316   9.1909    6.5462    5.8162    13.2929   3.3336    4.4910
2452.20   4.1233    7.5391    16.6184   17.2819   236.9841  21.0018   8.8734    6.8026    6.3416    12.6175   3.3031    4.5886
2452.40   4.2412    7.2116    16.5368   17.4244   240.9018  21.0193   8.9096    7.4911    6.8426    12.3305   3.5273    5.0010
2452.60   4.2927    6.8965    15.6463   16.8469   244.9673  21.0115   8.4472    8.0674    7.4047    12.4221   3.6385    5.1567
2452.80   4.3075    6.5567    13.6079   13.4529   241.3700  20.9862   6.8534    8.7901    7.8812    14.2133   3.7367    5.3416
2453.00   4.2436    6.1381    12.2597   12.3200   234.1259  20.9628   7.6695    9.4128    8.5166    16.9941   3.5573    4.9693
2453.20   4.1110    5.7171    11.1070   12.3151   220.0320  20.9335   9.2832    9.9426    9.2986    17.9639   3.5856    4.8082
2453.40   3.9882    5.7294    11.1095   13.0769   209.9544  20.9355   10.5513   10.0476   10.1784   18.5552   3.6351    4.2801
2453.60   3.8679    5.8377    11.6933   16.5692   204.0655  20.9491   10.7643   9.6594    11.3392   18.8743   3.6688    4.4514
2453.80   3.7893    6.0076    12.8237   19.0342   198.8419  20.9413   10.1868   9.2858    12.5244   19.0995   3.5809    4.7940
2454.00   3.6984    6.1677    14.5900   18.9899   194.2343  20.9433   10.3962   8.9391    14.0518   19.2751   3.6952    4.5149
2454.20   3.6542    6.2612    16.2226   18.3534   190.9080  20.9355   10.7922   8.5948    15.6891   19.5992   3.9055    4.9878
2454.40   3.6616    6.3573    17.2542   18.5254   187.0888  20.9374   10.8082   8.3677    17.2898   20.0223   3.8875    5.2304
2454.60   3.6076    6.4853    18.2214   18.4566   184.2799  20.9608   10.4812   8.1968    18.9516   20.3216   3.7155    5.1776
2454.80   3.6174    6.8054    18.3105   18.4566   182.3087  20.9628   10.9693   8.0772    20.5401   20.0322   3.7797    4.7013
2455.00   3.6493    7.3101    18.2164   18.9899   181.3724  20.9530   10.5201   7.9868    22.1774   18.3053   3.7740    4.1757
2455.20   3.7328    7.8862    18.8151   19.4692   180.5593  20.9550   10.9653   7.9233    23.7048   16.4572   3.5350    4.5383
2455.40   3.8851    8.3541    19.4113   19.9779   179.8448  20.9706   11.5526   8.0942    25.0489   15.0619   3.5285    4.4573
2455.60   4.0643    8.7652    20.2053   20.4080   178.9577  20.9823   10.3158   8.5508    26.2708   13.5205   3.4913    4.6159
2455.80   4.2191    9.2060    20.3983   20.4006   178.2186  20.9316   8.6177    9.2003    26.8451   13.4612   3.5240    5.1142
2456.00   4.1454    9.5654    19.4310   18.9211   177.7750  19.9058   8.8701    10.3992   26.9062   14.6437   3.2814    5.3709
2456.20   3.9686    8.8440    17.6302   16.8862   177.6518  20.3153   9.0157    11.9180   25.3788   15.5047   3.1636    5.0356
2456.40   3.7230    7.8986    15.3643   13.8634   178.3910  20.6371   6.8635    12.7799   24.1569   16.4250   3.5490    5.2196
2456.60   3.5658    7.3569    14.2189   14.2713   179.3766  20.6488   7.2634    14.2229   24.0591   17.1227   3.6633    4.9961
2456.80   3.4283    7.1968    13.2393   15.0627   179.1795  20.6722   8.8373    14.7235   24.4990   17.1202   3.6570    4.3592
2457.00   3.3129    7.1033    13.0414   16.0408   176.9619  20.6585   10.7882   17.5925   25.4521   16.4523   3.6883    4.7716
2457.20   3.2564    6.9186    13.3061   17.2745   172.9457  20.6156   10.0371   21.7922   26.3441   16.1504   3.5929    4.8272
2457.40   3.2957    6.7340    14.2362   18.5009   164.4203  20.5610   10.4464   29.1539   27.3705   16.2815   3.5029    5.1723
2457.60   3.3571    6.5592    14.9363   15.2912   154.5152  20.6819   8.4098    33.8298   28.5313   17.4592   3.5117    5.4153
2457.80   3.4750    6.2908    14.7335   15.1634   143.8709  20.9745   8.7592    36.9186   29.9609   20.2845   3.9210    5.1318
2458.00   3.6100    6.0175    13.5955   15.4166   130.1712  20.9764   9.6225    37.8220   31.0728   25.5567   4.3485    5.2674
